Mixture	Astrocyte	Endothelial	Microglia	MO	Neuron	OPC	P-value	Correlation	RMSE	Absolute score (sig.score)
opcBulk_12dpi_CKO_21724_tdTpositive	18.5647781637539	0	0	0	5.57565396604346	46.3508047843366	0.014	0.338035523638317	0.940081853326272	70.4912369141339
opcBulk_12dpi_CKO_21725_tdTpositive	17.9466571148142	0	0	0	10.6945716600536	31.4753139127973	0.05	0.194561361563421	0.98013169795256	60.1165426876652
opcBulk_12dpi_CKO_22017_tdTpositive	14.9344463730935	0	0	0	12.3557552360575	43.6330092085621	0.017	0.318911323939309	0.94674832202175	70.923210817713
opcBulk_12dpi_CKO_22208_tdTpositive	16.4593620298351	0	0	0	12.3825737203442	37.8226617197262	0.031	0.246373029878958	0.967468874694869	66.6645974699056
opcBulk_12dpi_CKO_22210_tdTpositive	14.7169851673936	0	0	0	11.916598619069	38.3278550863451	0.025	0.280840226228718	0.958028118183603	64.9614388728077
opcBulk_12dpi_CKO_22363_tdTpositive	16.360269714406	0	0	0	8.59783097181496	38.9784990731332	0.022	0.292689853721361	0.954514136426713	63.9365997593542
opcBulk_12dpi_CKO_22364_tdTpositive	16.5537601027499	0	0	0	8.40350863338294	42.1366072892745	0.016	0.322405480473376	0.945471949414612	67.0938760254073
opcBulk_12dpi_WT_22056_tdTpositive	15.8490644288628	0	0	0	9.64112237807635	45.4887719398167	0.00600000000000001	0.545935424595011	0.873567149112703	70.9789587467559
opcBulk_12dpi_WT_22178_tdTpositive	19.4547192052064	0	0	0	8.9022563666947	47.0126437899384	0.01	0.45670729043555	0.904331154877116	75.3696193618395
opcBulk_12dpi_WT_22180_tdTpositive	14.2122914388045	0.819498375410089	0	0	9.15730979783584	40.2052360524875	0.019	0.30395603645099	0.951063717571344	64.3943356645379
opcBulk_12dpi_WT_22280_tdTpositive	10.8831459941385	0	0	0	13.9973740290411	40.5836235418631	0.019	0.304565419932318	0.950923938646382	65.4641435650427
opcBulk_12dpi_WT_22281_tdTpositive	15.5943162561328	0	0	0	9.24365701875443	45.7883161650736	0.016	0.33088871876301	0.94250257049209	70.6262894399609
opcBulk_150dpi_Tumor_16713_tdTpositive	15.2656634055136	0	0	0	0	94.1594390575497	0.1	0.135286514319865	1.02177205979882	109.425102463063
opcBulk_150dpi_Tumor_16839_tdTpositive	21.517400646253	0	0	0	3.08885321590631	47.3370512758359	0.334	0.0318599361145005	1.03301493081547	71.9433051379952
opcBulk_150dpi_Tumor_16840_tdTpositive	16.9814837816808	0.0431203188421459	0.690990278805084	0	5.21148313268413	36.7482093486985	0.152	0.098980592756673	1.00974806431777	59.6752868607106
opcBulk_150dpi_Tumor_16844_tdTpositive	23.5669787929868	0.20379599731504	1.61457388770257	0	13.4599905221377	55.2834752941929	0.144	0.103581326005442	1.00628423485483	94.128814494335
opcBulk_150dpi_Tumor_21256_tdTpositive	32.0788622404762	0.267879492822832	0	0	10.4165828069821	64.4874155432263	0.248	0.0509181541269885	1.02154590744322	107.250740083507
opcBulk_150dpi_Tumor_21349_tdTpositive	18.1275329578481	0.543106779113024	1.09467904942483	0	0.743876663026178	22.8371701729849	0.262	0.0478193371081543	1.01547308776185	43.346365622397
opcBulk_150dpi_Tumor_21354_tdTpositive	29.3209952144026	0.15298780575862	2.75659912178831	0	1.15485431032613	43.2408725757958	0.0580000000000001	0.184343987038949	0.98378461392056	76.6263090280715
opcBulk_150dpi_WT_21590_tdTpositive	14.7465455762506	0	0	0	10.4832373493736	37.9804893854878	0.035	0.239770752937534	0.969628905087797	63.2102723111121
opcBulk_150dpi_WT_21591_tdTpositive	14.9507944563614	0	0	0	6.21610593351422	40.0545091790157	0.047	0.199988058479077	0.982893504193284	61.2214095688913
opcBulk_150dpi_WT_21592_tdTpositive	14.9159929308896	0	0	0	11.557093126654	34.6496849558137	0.088	0.149121859602447	0.993067003044176	61.1227710133573
opcBulk_150dpi_WT_21593_tdTpositive	18.7185382227585	0	0	0	8.80516734678032	39.5344638514863	0.018	0.307935785356961	0.95041598199437	67.0581694210251
opcBulk_150dpi_WT_22062_tdTpositive	15.0909793060184	0	0	0	10.5413178363548	32.2901645412019	0.05	0.195380410095849	0.980712858672755	57.9224616835751
opcBulk_150dpi_WT_22064_tdTpositive	18.4201486907213	0	0	0	7.71443933149567	37.4687934330576	0.026	0.277335202201499	0.959019094427521	63.6033814552746
opcBulk_90dpi_CKO_20642_tdTpositive	13.8685803288246	0	0	0	12.5674415700945	45.3328946362796	0.018	0.304983906315851	0.950687453721067	71.7689165351988
opcBulk_90dpi_CKO_20647_tdTpositive	13.184042275138	0	0	0	10.217374959358	39.4633869548236	0.016	0.319343056988369	0.946398596192709	62.8648041893196
opcBulk_90dpi_CKO_22146_tdTpositive	14.2127492896874	0	0	0	10.9196847312167	38.1006502196065	0.036	0.229089684904811	0.972671358507969	63.2330842405106
opcBulk_90dpi_CKO_22149_tdTpositive	16.4629762307553	0.350851592274611	0	0	10.6241432788179	44.1846286387083	0.025	0.278859803559151	0.958522622096052	71.6225997405562
opcBulk_90dpi_CKO_22152_tdTpositive	18.0021441578718	0	0	0	11.8865437724779	32.1951952529175	0.0580000000000001	0.185019268516065	0.982330958753722	62.0838831832673
opcBulk_90dpi_CKO_22154_tdTpositive	16.256788987226	0	0	0	9.35802944940056	41.713018621676	0.036	0.231918367623299	0.972237523314036	67.3278370583025
opcBulk_90dpi_CKO_22212_tdTpositive	17.3670876601814	0	0	0	12.8321837613393	39.6177538485704	0.082	0.156660399813781	0.991132086095293	69.8170252700911
opcBulk_90dpi_WT_22184_tdTpositive	18.0924096117811	0.797532815746857	0	0	11.7319979858163	32.1595289860309	0.029	0.252833990486691	0.96595042929452	62.7814693993751
opcBulk_90dpi_WT_22185_tdTpositive	16.4883664092175	0.609482857155313	0	0	12.0931917009218	34.7017298217676	0.028	0.263253044889697	0.963080807976973	63.8927707890622
opcBulk_90dpi_WT_22254_tdTpositive	18.8229846134072	0.0705857117524068	0	0	11.2514521032382	32.1961841224901	0.043	0.208550867046092	0.976633693144597	62.3412065508879
opcBulk_90dpi_WT_22255_tdTpositive	19.6640826151206	0.030388941491053	0	0	10.4680913482933	33.9315308803187	0.036	0.229478315487733	0.971629164810641	64.0940937852237
opc12.01	8.49639658543425	22.3660317475528	0	0	14.612695440901	13.7661303344902	0.02	0.300017766235933	0.970610902795928	59.2412541083783
opc12.02	0.840587920367952	4.86783799367237	0	1.70939124329995	26.829986605648	13.2317176438807	0.028	0.259529039280071	0.965034786599289	47.4795214068691
opc12.03	8.66242101323823	28.3853082530892	0.472193101760069	1.81968902480142	27.5855517925629	5.37683858162835	0.013	0.339419919598444	0.968331965915714	72.3020017670801
opc12.04	1.92632386387691	22.9854504113241	0.431489096618249	0.218963921438644	19.2098133742551	8.3487612787553	0.042	0.213925254306026	0.982697259236093	53.1208019462682
