Mixture	Astrocyte	Endothelial	Microglia	MO	Neuron	OPC	P-value	Correlation	RMSE	Absolute score (sig.score)
sample.01	8.89284157021545	3.67622628315555	0	82.9561770155319	2.50344553739162	2.31974547201444	0.015	0.363156360290499	1.87693364890888	100.348435878309
sample.02	4.07790755418677	24.8809221361287	1.13388037384528	0	13.9273356811408	13.9140995202828	0.02	0.300523393785019	0.969536879455663	57.9341452655844
sample.03	5.28551695115647	20.1373414541426	0.155328918356834	4.67548706286929	15.2792812400261	12.1149755944225	0.00600000000000001	0.49912274887658	0.88925397854569	57.6479312209738
sample.04	2.0095064202024	14.9814984676264	0	1.08412452941757	1.56299993873196	53.207899164986	0.003	0.525488909797407	0.863206552236437	72.8460285209644
sample.05	10.4593845748097	11.0678495133541	0.769147066487564	4.74012780400576	33.8263062550726	0	0.039	0.196275211271418	0.978884541361442	60.8628152137297
sample.06	4.21772157920821	39.0421483510671	0.0940731640835054	25.2653591153371	7.25995108907349	4.53175263156396	0.00600000000000001	0.484953340361169	0.921294270327931	80.4110059303334
sample.07	6.51276089893513	73.5671508966424	0	1.67146280339599	0.791391568780481	4.21190041002846	0.003	0.545694993253838	0.942776746806719	86.7546665777824
sample.08	4.80819391591738	42.6887171062279	2.00818559844904	0	6.14361382800029	24.4798690042213	0.017	0.330166584907132	0.959495881266145	80.1285794528159
sample.09	11.6462175180091	26.8498724288026	11.7452939480249	0	1.0042597449215	17.8440607750913	0.02	0.306958808440431	0.967156304434178	69.0897044148493
sample.10	9.42950385415262	11.0316178730022	0.206179167639281	1.62863564332792	26.8530283128317	16.7391365182542	0.027	0.251207105839009	0.969153272594716	65.8881013692079
sample.11	7.55740677634921	10.9896108406273	1.50803241606172	2.70855741323455	26.300106387154	3.67257045715562	0.037	0.203196398861391	0.978556379869021	52.7362842905824
sample.12	3.16892023770944	2.41289269849498	0.154276614303551	1.68801851285051	38.7135303039828	2.23722860557009	0.039	0.197155418513178	0.982576013846995	48.3748669729114
sample.13	7.03119019000201	2.64469328654115	0	0	7.77833841062986	43.1375661938713	0.124	0.0921329437349718	1.02066231587293	60.5917880810443
sample.14	2.25767478351175	20.2469892605667	0	9.40848165153571	13.4577774863974	45.1442036814949	0.00800000000000001	0.444245387501127	0.894629333757244	90.5151268635066
sample.15	5.28977848518532	9.64860248910216	0	13.5041311915849	9.23102471652024	40.9347685644681	0	0.719872539986753	0.696329781485869	78.6083054468608
sample.16	0.327846764256447	81.6358774611724	0	0.442046732460663	0.0397247155221716	1.84828738746368	0.00700000000000001	0.472978838300913	0.954242706459778	84.2937830608754
sample.17	4.18339872530696	5.58986606791105	0	0	3.61554471663723	39.1985078131888	0.027	0.25066931373085	0.970302922790739	52.5873173230441
sample.18	4.93324985679534	14.353693904825	0	7.54474907671999	1.06149353496019	47.4597919637694	0.003	0.526880106282246	0.848170471537244	75.3529783370699
sample.19	2.00905779273071	60.5592420973881	0	3.66755218244755	2.21797324335313	57.760258514588	0.015	0.368647412061345	0.9317702601393	126.214083830507
sample.20	2.5873151689683	23.0042008693003	0	0.618767174617396	10.5049464216594	53.5758119411286	0.019	0.31046253529253	0.948998341652764	90.291041575674
