symbol	Astrocyte	Microglia	MO	Pericyte	Neuron	OPC
Hgf	139.792198066164	1	1	2.40602895770137	3.76873534168206	3.03709408386087
Grhl1	112.125424685375	1.52373398052165	1.22068258976655	1.01268091564213	4.38883094984325	2.98764223539379
Atp13a4	373.865442169382	1	1.17081106327282	2.80245131013897	7.55798033211086	27.1575707094323
Pdk4	313.446800497532	1.80897458844871	5.75276428292701	10.0533938817922	11.1482046257536	4.93916641258153
Itih3	336.60377685686	1.75732263627546	5.49355907450366	8.96959082480103	10.579144117237	12.6507485333923
Aqp4	1568.14548006963	2.36222039857118	4.77974679977381	67.0283732991766	60.5022378501986	51.6127065980936
Bhlhe40	1918.47158508873	11.7755862318726	10.911663766462	77.5521045710518	52.4419047706265	76.5444269530806
Bmpr1b	147.153095999548	1	1	5.80399385203607	4.57874824113294	5.76360492951494
Slc14a1	260.690810990296	2.30183456072928	1	7.73800320508792	9.37360598287611	12.1040458769287
Cyr61	4107.50875220336	57.3360559646708	3.22348188150679	77.3035359254312	141.922397533901	249.003842220778
Ppp1r3c	514.303821311756	2.62631434497328	5.93704454837254	27.6059287536149	14.3382157647728	16.1095883933121
Ptx3	103.983446186649	1	1	1.73960066444185	9.06071818357432	1
Paqr6	108.156527154842	1	2.24570280376756	2.5952142037865	5.8624594928223	2.88800396912331
Cyp4f15	199.640962038783	2.51085090153832	3.1199251828731	1	4.04509643321585	20.067631047658
Plcd4	166.465935143047	1	1.50900697439993	12.7244652845785	3.62594912040713	6.7756767117519
Pla2g3	232.541446367734	1	2.9230257673563	17.3991925242427	12.5653082683709	2.24864259927328
Phkg1	136.640105636933	1.96886856194121	2.08516328083093	7.28723621963896	3.95529861146617	6.43386169067243
Fgfr3	1439.38457338161	9.59358692735042	14.3426002396241	70.7792391519225	48.6968891718372	85.512161541429
Slc6a11	2742.65944961023	12.5296794099252	26.6405788232001	91.1497722523777	180.491069576342	133.420286231878
Gdpd2	347.786343930152	1	1	13.6678795712966	24.3977127202107	16.4741087008558
Chrdl1	238.639772278273	1	1.64537548013157	4.71318098419006	10.457849334912	21.1198592869473
Nwd1	261.377236297547	1	1.94266336067999	16.5056232529051	7.70005205685051	18.8544291467044
St6galnac5	299.874156172669	1	1	11.1019229473897	35.3558792584977	5.1328730330832
Entpd2	390.775747220705	3.87917542561542	4.35686072698026	11.5260230684205	25.981160408716	24.6694585065179
Slc4a4	1308.39496248534	2.30017321621942	6.02969479191664	78.0109062753979	64.54960370946	88.020178056142
