Mixture	Astrocyte	Endothelial	Microglia	MO	Neuron	OPC	P-value	Correlation	RMSE	Absolute score (sig.score)
opcBulk_12dpi_CKO_21724_tdTpositive	13.3003835181489	6.76011826340038	0	4.29578373624638	8.18475296934828	26.3362529529722	0.015	0.434471310429739	0.932911351647915	58.8772914401162
opcBulk_12dpi_CKO_21725_tdTpositive	13.5496866062118	2.93098845467362	0	1.97014354480859	11.4531434952778	22.2063068694782	0.0590000000000001	0.240403121979982	0.979143798927219	52.1102689704501
opcBulk_12dpi_CKO_22017_tdTpositive	14.1061270873212	6.52429978431673	0	3.11057783665734	13.259058171235	23.1454874140277	0.02	0.409825248238677	0.951376289013138	60.1455502935579
opcBulk_12dpi_CKO_22208_tdTpositive	14.3711308111148	6.29906303059762	0	2.35100753234726	12.7847643433646	23.0688934357516	0.03	0.324967863194754	0.968989146687943	58.8748591531759
opcBulk_12dpi_CKO_22210_tdTpositive	12.5893931300056	5.78967985357649	0	3.02318785809454	7.53356946857257	25.862503913056	0.027	0.342873413130412	0.958766516302105	54.7983342233051
opcBulk_12dpi_CKO_22363_tdTpositive	14.0832964851304	4.04408828121363	0	3.70981910248197	6.26252191243778	27.0848679465094	0.023	0.360987814002854	0.950097862058782	55.1845937277731
opcBulk_12dpi_CKO_22364_tdTpositive	15.9277582871493	8.68338374088998	0	3.16294333399379	8.26503622382226	24.9956351945821	0.02	0.40781044300884	0.951035343018269	61.0347567804375
opcBulk_12dpi_WT_22056_tdTpositive	17.1651527958666	4.33911411043852	0	7.38581899329949	6.44443665399496	24.6261884888617	0.004	0.689773074239375	0.818652361697206	59.9607110424613
opcBulk_12dpi_WT_22178_tdTpositive	16.1413780808135	5.57375906617096	0	5.96028179580712	8.35911097111296	27.4203453369834	0.00700000000000001	0.58978725005215	0.880762214180297	63.454875250888
opcBulk_12dpi_WT_22180_tdTpositive	14.796436529176	7.31928539236896	0	3.20295812591294	10.4639163894347	18.6162844299331	0.021	0.386551947953977	0.950083398589961	54.3988808668257
