Mixture	Astrocyte	Endothelial	Microglia	MO	Neuron	OPC	P-value	Correlation	RMSE	Absolute score (sig.score)
opc12.01	3.607833028407	30.9834294704917	0.0817812902851897	2.09206805214553	18.3667332979175	10.9094162011498	0.032	0.326229925734766	0.972080194569775	66.0412613403967
opc12.02	0	6.15727621356995	0	5.5089365100105	29.1597883046201	10.5722699623226	0.051	0.268471714458787	0.961409156714737	51.3982709905232
opc12.03	9.80675034651406	36.0414621051931	0.979510444315683	3.52871875155269	34.9125969445386	4.09152455267142	0.03	0.337823208074566	0.967672078127058	89.3605631447855
opc12.04	1.05536896689374	29.1398033722059	1.00957430821881	1.61301140131108	22.8302682455173	4.97145495653675	0.0570000000000001	0.239529048042422	0.98169691547742	60.6194812506836
opc12.05	3.44908303100777	19.6233366936908	0	6.47069412048701	6.4006363490127	30.9972558432781	0.0649999999999999	0.208123722691835	0.976751260567224	66.9410060374763
opc12.06	8.54469487654505	44.0637751270242	0.816725963238972	1.52492727617401	24.1145127532573	3.2844651715699	0.092	0.163436112123015	0.989130953414814	82.3491011678095
opc12.07	3.20907504199868	8.13997304968645	0.315739343118653	6.02522490670251	31.878846269237	7.90264661670508	0.046	0.285504655369305	0.956898641761663	57.4715052274484
opc12.08	6.50595020060117	22.2985134580533	0.223101567941476	0.217364024969845	20.4488250470056	2.59414776662133	0.052	0.254242429381749	0.987161819827951	52.2879020651927
opc12.09	2.72124756525765	35.2204733421114	1.29110224564746	10.7348338310958	16.4703573860328	3.82695117488179	0.054	0.247119241984631	0.975429116259905	70.264965545027
opc12.10	10.7264478304718	10.7570925654049	2.66897748804878	6.22605990727704	16.566102794247	21.2329069895913	0.104	0.143572457410703	0.991149751935498	68.1775875750408
opc12.11	1.46461561209932	48.4425054272393	0	0.377803320893123	5.90565792765915	4.96366176387451	0.109	0.137012544736899	0.99036065356659	61.1542440517654
opc12.12	1.13962128759117	39.720718221219	0	7.56740033471261	17.2058352475154	7.33058882379499	0.083	0.174731833348801	0.98624315908576	72.9641639148331
opc12.13	0	4.18925865574016	0	5.29962041458969	31.2995829826271	17.7288327818922	0.05	0.272289642047124	0.961558414254639	58.5172948348492
opc12.14	3.52706832916011	28.8405569286123	0.0334073715985372	0.46299838516634	12.2437202105447	0.0338422273712051	0.047	0.284542069256088	0.980342929880366	45.1415934524532
opc12.15	0	0	0	1.60157469036584	0.0663813844752308	49.3146578141125	0.466	0.0132650528020291	1.00145411809445	50.9826138889536
opc12.16	2.70084530644225	0.0726562726242897	0	5.74175135261135	12.4864625468347	27.8387469119158	0.032	0.325058096617154	0.944376077809033	48.8404623904284
opc12.17	10.9715761461998	36.5975700585127	0.752622264753493	0.448489237301748	6.64468009164289	2.83207941241366	0.0659999999999999	0.203501167343814	0.986794251888905	58.2470172108243
opc12.18	3.0622727809779	43.8135225573163	3.1486511624148	1.12092051875192	0	18.1141387133389	0.595	-0.00202341343906172	1.00153065172721	69.2595057327998
opc12.19	3.43516041358198	43.2185972787374	0.911757010930619	2.27269947499738	11.389338209985	2.35097265939987	0.021	0.371928302046903	0.962268483896184	63.5785250476322
opc12.20	7.99788539359632	47.8235496410647	0.820138266068091	83.5479709194679	1.71447974544387	6.14086877384047	0.013	0.478345433391486	1.25586845691224	148.044892739481
opc12.21	3.9020860475208	28.4797059477808	0.470644684471502	1.50038701721208	11.2689109976841	4.56656260838854	0.096	0.155356437822297	0.98807686727655	50.1882973030578
opc12.22	3.54154717113871	26.422400298165	0.647395692164627	9.62157288335792	15.4590501225688	3.84224297503364	0.011	0.532196272655608	0.855614244984291	59.5342091424286
opc12.23	0	0	0	0	0	65.0736671094632	0.07	0.196684799108059	0.991537578131489	65.0736671094632
opc12.24	7.11997767815478	0	0	40.0671561752315	0.0625253458175697	1.59106398163434	0.0610000000000001	0.216705551291798	2.03349246836869	48.8407231808382
opc12.25	1.88782128313458	23.7359743863908	0	1.50578267826143	1.55810394623048	19.1498585042657	0.128	0.114677978910604	0.991896697923814	47.837540798283
opc12.26	4.37702544830362	29.3188926228674	0.485654482786538	0.123976910323231	18.16372130917	2.83993753811939	0.052	0.254602147864479	0.985397686022997	55.3092083115702
opc12.27	9.83606203596414	15.3636946741616	0.398492747858616	6.57843884038482	29.6875508626794	2.87360046951835	0.05	0.272351756809115	0.960593685941665	64.7378396305669
opc12.28	0.77655504991713	26.6465119394603	0	49.4938192446991	8.14377228207038	3.43180335560713	0.199	0.0722595109083645	1.6304161658397	88.492461871754
opc12.29	1.2060836153216	24.6779345272617	0.557743808557518	0.168444113909122	30.3762068250985	8.39228982492183	0.037	0.316645218536555	0.984965401339745	65.3787027150703
opc12.30	1.17936576204822	2.45906872360195	0	5.04867280933123	0.130285561912789	37.7303810297708	0.074	0.1878897940432	0.983925925615234	46.547773886665
opc12.31	16.58864155258	42.5984865795858	1.01367023380561	2.91075443906477	4.02172332373024	4.86004937198118	0.142	0.103089629746529	0.993015467213076	71.9933255007476
opc12.32	22.7493405197483	23.8380477100392	0.618871987854273	8.28327410529218	1.26513003092074	1.79357193813554	0.092	0.16396330230842	1.00122167348149	58.5482362919902
opc12.33	9.57106770685516	9.38488213886755	0.572425769026109	1.13717322251109	47.9122156202232	4.35997412579026	0.0580000000000001	0.237036421394237	0.98747323065743	72.9377385832734
opc12.34	1.63651087436037	0.0954101563312579	0	0.756981013206611	7.66807823794795	39.4732572495697	0.371	0.0272759124409284	0.998502986737036	49.6302375314159
opc12.35	0	85.7332151384229	0.0167070770523137	0.688482641827968	8.80966453605207	0.018020133743373	0.11	0.134848138846127	0.989990035228489	95.2660895270986
opc12.36	6.35332656393153	20.9959326571237	0.73476838824296	28.2134001334536	1.68701346733092	2.19486112793129	0	0.835477067390747	0.631408926308793	60.1793023380139
opc12.37	5.13230853055045	33.5642296983451	1.04715353766315	0.773389152549284	19.0910458592105	3.82192797162888	0.182	0.0832138678385258	0.995147629683565	63.4300547499473
opc12.38	3.83348115731201	19.3060151376389	0.200889794881908	1.08277441810568	22.1909459197914	2.98376460902162	0.111	0.133930557060774	0.991478230982988	49.5978710367516
opc12.39	17.5518979339303	13.5795259195338	0.0196233127958769	0.0678713445203652	0.0728683585943366	0.320121879664456	0.151	0.0969426929726641	0.995088807679198	31.6119087490392
opc12.40	9.13490214330461	12.3039348526049	0.852511095365047	2.32011345324478	42.5974590598831	2.22316253428022	0.125	0.117808288695356	0.991879935956884	69.4320831386826
opc12.41	14.0496229676463	12.0042028090929	0.294853051572915	0.47484577941812	14.7814621617133	4.53155744114371	0.129	0.113241389958754	0.994763984408356	46.1365442105872
opc12.42	0.720241633505098	0.191054937645184	0	44.1670825965234	0.133221190670931	9.06176246787869	0.027	0.343378679423546	1.89249790587282	54.2733628262233
opc12.43	0	9.80264763433675	0	42.9056844351771	0.430463889259791	14.18612100432	0.08	0.179118969705519	1.69104800325053	67.3249169630936
opc12.44	14.9905193836889	44.5131419563781	0	3.33653616110117	11.8996178490615	13.6199906647658	0.111	0.13339293244522	0.989733348040286	88.3598060149955
opc12.45	10.2105817979072	37.6503959241245	0.266157230868666	15.9521188118865	16.9722125444249	2.48448230609184	0.094	0.160619465880179	1.03140486855852	83.5359486153036
opc12.46	4.52384868571999	0	5.18479712490529	0.811244557889952	5.59068044726549	15.6966860603427	0.495	0.00953853714642207	1.0003597306335	31.8072568761234
opc12.47	0.0148977855506629	58.580696572525	0.0101502224879935	0.005680462296607	0	0.000175881994907447	0.036	0.318734734881419	0.969917141054638	58.6116009248551
opc12.48	6.76916821850914	20.1759617058267	1.77111623886152	24.9684523415822	3.48344534905443	4.76660154645923	0.00700000000000001	0.670685919867773	0.804694930759521	61.9347454002932
opc12.49	3.9520964884997	3.05341122075226	0	3.9127000844993	8.50933375919657	29.7686499931404	0.055	0.243673303256937	0.969025532484428	49.1961915460882
opc12.50	0	0.0165981683724155	0	2.66705578698166	0.47896637385183	47.3605984341235	0.083	0.174613036028413	0.983487866511856	50.5232187633294
opc12.51	8.05191217456342	3.47317237363702	0	8.67198713797743	4.6668725696345	28.3927355480198	0.014	0.447742020625525	0.893459539887021	53.2566798038321
opc12.52	11.4551833656809	35.4503279882395	0.27469829500462	1.26579266729204	15.016144566819	1.02726078034494	0.051	0.264491329035948	0.981254840887945	64.4894076633811
opc12.53	6.337437263707	31.2164974905108	0.502748327133437	1.20565424451849	22.2735318408775	3.00532300734738	0.074	0.18865654380232	0.987674677748286	64.5411921740946
opc12.54	5.54229499836088	31.4752475239225	0.517998168701129	3.58467647997315	9.82329533121024	2.09227314709447	0.015	0.423992243041489	0.937396239371602	53.0357856492623
opc12.55	2.88247583726624	6.53115000978196	0	0.817617945223613	19.3122485860057	26.9905525553796	0.0610000000000001	0.216398322637998	0.989367096488359	56.5340449336571
opc12.56	0	0	0	5.66492096163474	0	37.6149630768061	0.021	0.377864210802785	0.925293759892277	43.2798840384408
opc12.57	0	0.20412280487248	0	3.07126683522855	37.4891027668017	10.4714237850627	0.095	0.156490779686204	0.985989753634542	51.2359161919654
opc12.58	3.91581237369616	31.2031765287838	0	3.14445846548305	28.0619179686554	0.502358568471046	0.115	0.12853299775015	0.989974957043397	66.8277239050895
opc12.59	11.9788517224482	41.996491884957	0.572555921207336	3.20547200743073	24.7872126592776	5.8227379018986	0.046	0.285334406948486	0.974200832412199	88.3633220972195
opc12.60	0	0	0	3.58806650040494	0.168531416674991	51.6681805315281	0.158	0.092641120848041	0.996880610832548	55.424778448608
