Mixture	Astrocyte	Microglia	MO	Pericyte	Neuron	OPC	P-value	Correlation	RMSE	Absolute score (sig.score)
control.01	2.89535711942994	0	2.04880153035031	7.00358389175151	41.6874274524012	48.8923989270929	0.126	0.147492890406465	0.991188925280082	102.527568921026
control.02	0	0	20.634189707684	31.4452903942461	3.82434178476385	85.2377710497331	0.11	0.161534912133504	1.0050483328169	141.141592936427
control.03	0	0	1.80178724116116	9.08496718918809	60.1051604481141	14.6297786959184	0.103	0.168529951426546	0.989482791977738	85.6216935743817
control.04	0	0	28.4682387681991	5.99565518595727	48.4654044935516	69.8287685761396	0.107	0.165653974818483	1.02673403253307	152.758067023848
control.05	0.332296475061494	0	6.92026587476843	23.6902588391281	46.627039769482	32.3078722885465	0.085	0.196591688396129	0.979431087484168	109.877733246987
control.06	0	0.00524563911254139	4.34884771149334	12.3122273054631	76.6185563945254	4.77391078157817	0.052	0.24650325521502	0.976166978262695	98.0587878321725
control.07	0	3.35062937298514	8.68879202397138	48.7272144490529	62.5805532353227	16.7080617981158	0.09	0.188750581051863	0.980828359377434	140.055250879448
control.08	2.67381769957436	0	15.7778746372367	4.70611889487167	24.1907493894263	52.2137274981843	0.117	0.15549853621946	1.01355210921399	99.5622881192933
control.09	0	0	1.56641842628261	12.1908905939054	48.7673675442318	74.163229560935	0.019	0.373791954524471	0.982192494623543	136.687906125355
control.10	0	0	2.62375498830137	6.66308709641929	74.9096328222498	30.7627934682221	0.076	0.205702682322539	0.986524288020671	114.959268375192
control.11	0	0	3.9619615839314	26.5750308167002	23.2575093285851	31.3011362710292	0.125	0.147728614992289	0.987704969947797	85.0956380002459
control.12	0	0	11.2615154092654	26.6243060978786	22.0480887922466	38.8024317514443	0.035	0.29109918637866	0.954771392818464	98.736342050835
control.13	0	0.0175337727034011	7.08111069904047	24.5834421269629	33.6217097934461	35.1186854712718	0.091	0.185263334223101	0.98087671000586	100.422481863425
control.14	0.301068966005934	0	1.08113814717683	19.5097996967879	81.5121710069145	12.6224889251637	0.148	0.133669323679688	0.993393338270115	115.026666742049
control.15	3.36961749461036	0	7.15557814455317	21.748556869475	38.5984451415396	36.5784286740415	0.0679999999999999	0.215810904016716	0.975835090152262	107.45062632422
control.16	0	0	1.01160646840783	27.3667302666905	28.8041780618774	34.8370766106231	0.102	0.169373745938357	0.992453095367258	92.0195914075988
control.17	0.521310443833613	0	9.92896978743813	6.19298351460309	20.5549370004312	88.2836689360143	0.487	0.0295880808646391	1.01231184043213	125.48186968232
control.18	0	0	1.52893372406237	9.07584958429113	58.6807428212783	19.7695776966508	0.0659999999999999	0.219359132117179	0.987426442993687	89.0551038262825
control.19	0	0	5.31659109947344	41.5538423973614	19.3487259840956	42.4153742100869	0.096	0.17998613099192	0.983469298093143	108.634533691017
control.20	0	0	24.4367548348471	47.8934621719188	2.75363242374125	71.8924983574548	0.045	0.255455855494958	0.977056555065089	146.976347787962
control.21	0	0	14.6530884530326	121.637098253886	0.389472105129346	38.1342687246443	0.0580000000000001	0.233168993752262	0.97090117641209	174.813927536692
control.22	1.30031816710127	0	9.78442888291675	77.8197907389205	21.8156930285147	30.1281347457612	0.143	0.138730683559949	0.989078197184931	140.848365563214
control.23	26.510107707007	0	10.0281655395796	11.9086181176443	77.2843549586765	26.6415982801939	0.33	0.0630610001852707	1.00125381411013	152.372844603101
control.24	0	4.58990674454093	12.9307498593863	64.9389676977739	29.4761243740143	4.36791666012196	0.325	0.0663941847717793	1.01675315713083	116.303665335837
control.25	2.90450306876685	0	1.32632144407837	29.9081621785778	43.1927763906557	38.8978773443991	0.279	0.0799792312359911	0.996034035549349	116.229640426478
control.26	0	0	2.50259250743579	1.5447375238276	5.4801331807811	137.482651015497	0.161	0.125415685194366	0.99215439705681	147.010114227542
control.27	3.4487882352759	0.126274955236508	5.4729787477543	5.26364281331713	56.9327002337821	2.73405597493205	0.162	0.124817699727296	0.992128984388878	73.9784409602979
control.28	0	0	3.60697344929089	27.6515033369272	16.6478799575376	69.4905959236903	0.071	0.211614264586291	0.983812794420987	117.396952667446
control.29	0	0	9.22888253059698	22.7315649043334	36.3678601161384	26.8846583394456	0.166	0.121312047513313	0.997667529239439	95.2129658905144
control.30	0	0	6.07922631313045	32.858497904582	49.2869399248488	21.9670161600248	0.036	0.286600126712283	0.967682553968318	110.191680302586
control.31	0	0	4.61928199125158	17.3316721484135	44.7128449612144	46.3419588134558	0.105	0.167273915920153	0.98603915280794	113.005757914335
control.32	18.4613399039295	0.182418141023942	5.01889999994866	4.64835899835216	53.6578115199919	5.80201215747861	0.411	0.0461097070180939	1.00187577402217	87.7708407207247
control.33	0	0	41.4989535133424	38.9025954745398	0.139074270675698	59.0103020005879	0.242	0.0930228907108979	1.17937331610095	139.550925259146
control.34	0	2.28018007814424	0.0988168001309103	93.1837908433921	51.0507611193092	13.3927761487459	0.0629999999999999	0.227699608083901	0.992115423626262	160.006324989722
control.35	7.58776296652942	2.46472984027135	8.70212106225583	9.56327921667712	63.3918203022963	0.213474574547532	0.09	0.187649839395776	0.98135349165315	91.9231879625776
control.36	1.86310123357907	0	10.1645130877718	10.6764438319944	45.3730893441112	47.4398190234168	0.039	0.267205224447477	0.962911245827545	115.516966520873
control.37	1.37503283452176	0.164612385175749	17.3573906796424	12.5918305455988	42.3583407125542	39.6738492608132	0.082	0.199303195001843	0.99371798235615	113.521056418306
control.38	0	0	0.539589294197392	7.59241348339677	28.7853246774013	54.3206113011817	0.104	0.167913794019417	0.992686733116967	91.2379387561771
control.39	0	0	4.32854093728883	10.9826710007752	32.3689772017997	55.2620132389943	0.098	0.175208242473493	0.98487213634958	102.942202378858
