Mixture	Astrocyte	Endothelial	Microglia	MO	Neuron	OPC	P-value	Correlation	RMSE	Absolute score (sig.score)
opcBulk_12dpi_CKO_21724_tdTpositive	2.09008796128801	0	0	0.44383623666454	0.353067736593137	4.36935735955065	0.011011011011011	0.354802952212842	0.954198571262597	7.25634929409633
opcBulk_12dpi_CKO_21725_tdTpositive	1.66352717345403	0	0	0.199861177270488	1.15316735834596	2.78573263249563	0.0370370370370371	0.259473334275103	0.978886965884284	5.80228834156611
opcBulk_12dpi_CKO_22017_tdTpositive	1.84224685978049	0	0	0.337069785841005	1.41534548702896	3.49634147721282	0.011011011011011	0.354212121676428	0.96201699427359	7.09100360986328
opcBulk_12dpi_CKO_22208_tdTpositive	1.79384776632775	0	0	0.259677552571955	1.37261909418567	3.15726982238275	0.016016016016016	0.314037812994631	0.97116755837446	6.58341423546812
opcBulk_12dpi_CKO_22210_tdTpositive	1.50979360665964	0	0	0.346874070950234	0.847346597553919	3.80386278244861	0.015015015015015	0.315990200180976	0.96390378547027	6.5078770576124
opcBulk_12dpi_CKO_22363_tdTpositive	1.61782080892559	0	0	0.34841785764307	0.40092017374998	4.00473987548224	0.0130130130130131	0.341258914270137	0.959488492107561	6.37189871580088
opcBulk_12dpi_CKO_22364_tdTpositive	1.80297022904516	0	0	0.358577316163162	0.906540478347944	3.7388544835409	0.00800800800800805	0.377889978610417	0.955616645830418	6.80694250709717
opcBulk_12dpi_WT_22056_tdTpositive	1.94956488576331	0	0	0.809847295876785	0.596661031420517	3.94493696925059	0.00100100100100098	0.547005214332469	0.878269971699839	7.30101018231121
opcBulk_12dpi_WT_22178_tdTpositive	2.03543005729075	0	0	0.649003743845242	0.884122955970463	4.07976215316515	0.00200200200200196	0.475376355584118	0.916568384101499	7.64831891027161
opcBulk_12dpi_WT_22180_tdTpositive	1.68882521118244	0.197503262141084	0	0.345911238958403	1.0967695053637	3.10564418877502	0.014014014014014	0.326915891274458	0.962417791301053	6.43465340642065
opcBulk_12dpi_WT_22280_tdTpositive	1.25169272440115	0	0	0.319882415352869	1.58413922854824	3.25471856769223	0.011011011011011	0.352473374449498	0.960799744407959	6.41043293599449
opcBulk_12dpi_WT_22281_tdTpositive	1.92358446401072	0.0224188011826598	0	0.442642189394407	1.14029912625688	3.57857946280013	0.012012012012012	0.349433657042364	0.954790368947898	7.1075240436448
opcBulk_150dpi_Tumor_16713_tdTpositive	0.374869789644938	0	0	0.367062866349483	0	10.6894043030791	0.046046046046046	0.237224551235707	0.980439519279107	11.4313369590735
opcBulk_150dpi_Tumor_16839_tdTpositive	1.68817676483254	0	0	0	0.0225176415501016	5.73418126837339	0.005005005005005	0.440194148783284	0.985312088938027	7.44487567475604
opcBulk_150dpi_Tumor_16840_tdTpositive	1.20662558428529	0	0	0.0634862944074179	0	5.166205716244	0.00100100100100098	0.546135348967174	0.975223013629567	6.4363175949367
opcBulk_150dpi_Tumor_16844_tdTpositive	2.46524584609859	0	0	0.102580421133619	0	7.34838518667494	0.00600600600600598	0.424141213532278	0.98108612017348	9.91621145390715
opcBulk_150dpi_Tumor_21256_tdTpositive	2.49792036578222	0.0452192624035041	0	0.0355925544162367	0.424856682411184	8.20230890983191	0.005005005005005	0.443427296416997	0.984806839921554	11.2058977748451
opcBulk_150dpi_Tumor_21349_tdTpositive	0.974173441837821	0.0270709330153105	0	0.0149805574090592	0.0098991955468199	3.67412913674801	0.00200200200200196	0.507838980309403	0.981812780081772	4.70025326455702
opcBulk_150dpi_Tumor_21354_tdTpositive	2.83031785341361	0.206605412193991	0.0324389876075123	0.220961604647399	0	5.16275966340229	0.0230230230230231	0.292283895560322	0.979602970591043	8.4530835212648
opcBulk_150dpi_WT_21590_tdTpositive	1.379323780632	0.0635985512274418	0	0.27544608485309	0.671522590642333	3.66820189438531	0.016016016016016	0.310027947428172	0.968264732181645	6.05809290174018
opcBulk_150dpi_WT_21591_tdTpositive	1.74667227389535	0.0123292753506055	0	0.196789144543384	0.226265083438799	3.96365759658564	0.046046046046046	0.239910307992802	0.98117591319479	6.14571337381378
opcBulk_150dpi_WT_21592_tdTpositive	1.48150104117312	0	0	0.167915140880185	0.34875000342909	3.98936523524964	0.046046046046046	0.235611698119755	0.982945552799678	5.98753142073203
opcBulk_150dpi_WT_21593_tdTpositive	1.75754843169821	0	0	0.416941297308146	0	4.62516812385775	0.012012012012012	0.35187497296103	0.954359489419409	6.79965785286411
opcBulk_150dpi_WT_22062_tdTpositive	1.43404667778927	0.0817212885857328	0	0.239478973468714	0.283900451360712	3.53966006196982	0.04004004004004	0.254019057160447	0.975867002034885	5.57880745317425
opcBulk_150dpi_WT_22064_tdTpositive	1.68669251957225	0	0	0.380601750521345	0.349850136504233	3.73406990801943	0.015015015015015	0.319593994864046	0.959612502258973	6.15121431461727
opcBulk_90dpi_CKO_20642_tdTpositive	1.42169942810973	0	0	0.391909148440727	0.488432716440495	4.99604914994581	0.014014014014014	0.330624550147744	0.961338952496142	7.29809044293676
opcBulk_90dpi_CKO_20647_tdTpositive	1.83105642138236	0	0	0.404699903981174	0.259298059428416	3.73219980123492	0.011011011011011	0.354586058995806	0.9523528758175	6.22725418602687
opcBulk_90dpi_CKO_22146_tdTpositive	1.12058746482895	0	0	0.231280837494214	1.0805921326169	3.60390683227773	0.0230230230230231	0.291909204141565	0.973676501950308	6.0363672672178
opcBulk_90dpi_CKO_22149_tdTpositive	1.59060238866634	0	0	0.322543558504844	0.501919107012385	4.72725088643043	0.016016016016016	0.305240353835629	0.968812775684624	7.14231594061399
