Mixture	Astrocyte	Endothelial	Microglia	MO	Neuron	OPC	P-value	Correlation	RMSE	Absolute score (sig.score)
opcBulk_12dpi_CKO_21724_tdTpositive	1.45312314674261	0	0	1.24485595494074	1.44108578619422	4.08555452053807	0.045	0.358406187941178	0.929810765749239	8.22461940841565
opcBulk_12dpi_CKO_21725_tdTpositive	0.181712165610982	0	0	0.577585214920466	1.27440311326931	3.90229560959709	0.108	0.255906000992462	0.96301551940821	5.93599610339785
opcBulk_12dpi_CKO_22017_tdTpositive	1.13371556196545	0.0807856654749645	0	1.02699435420152	1.56867454360468	3.82919131541256	0.043	0.362793543780347	0.928555819359507	7.63936144065916
opcBulk_12dpi_CKO_22208_tdTpositive	1.25908366907766	0.0746634950279332	0	0.861705614984649	1.41732854390836	3.46986486817334	0.07	0.303234638311964	0.949080841053825	7.08264619117194
opcBulk_12dpi_CKO_22210_tdTpositive	1.04543066402081	0	0	0.732770638152206	1.1720325675676	4.07440749334583	0.0600000000000001	0.323515964037706	0.944652504472924	7.02464136308644
opcBulk_12dpi_CKO_22363_tdTpositive	0.566892680077376	0	0	0.948121252474697	0.764008727555533	4.34991142867821	0.042	0.366323088879668	0.926717491217829	6.62893408878582
opcBulk_12dpi_CKO_22364_tdTpositive	1.07718382485241	0.509254380184804	0	0.975754775467986	0.818311974533473	3.70575351982241	0.032	0.405231099653264	0.912747973331968	7.08625847486108
opcBulk_12dpi_WT_22056_tdTpositive	1.38124975030142	0	0	2.19561502660289	0.906466186415179	3.79749992633869	0.00700000000000001	0.590186304027398	0.80640047632294	8.28083088965818
opcBulk_12dpi_WT_22178_tdTpositive	1.5651489221934	0	0	1.84296758283872	1.36200813072049	4.19855042750053	0.017	0.500281881655854	0.862244940242626	8.96867506325315
opcBulk_12dpi_WT_22180_tdTpositive	1.1212209978102	0.551948387706103	0	0.961141399623791	1.10793066585473	3.12910007823979	0.047	0.349203332985711	0.933190984835788	6.87134152923462
opcBulk_12dpi_WT_22280_tdTpositive	0.167412493364093	0	0	0.87464564121927	2.90690417713763	3.06999054539828	0.044	0.360833565733413	0.930330202960133	7.01895285711927
opcBulk_12dpi_WT_22281_tdTpositive	1.33645064797397	0	0	1.18386876732203	1.45071330733562	4.03019222632273	0.044	0.361556802033386	0.928496610639925	8.00122494895435
opcBulk_150dpi_Tumor_16713_tdTpositive	1.41875301478078	0	0	1.37635983921653	0	7.06885500501036	0.04	0.37705870411728	0.922870368007144	9.86396785900768
opcBulk_150dpi_Tumor_16839_tdTpositive	0.946608870361152	0	0	0.0461871046291829	0.123163741564251	4.83748391003741	0.022	0.460072533887634	0.980767423285586	5.953443626592
opcBulk_150dpi_Tumor_16840_tdTpositive	0.933724877054641	0	0	0.221509203219566	0	4.4422213625737	0.112	0.252452275897758	0.975346445439992	5.5974554428479
opcBulk_150dpi_Tumor_16844_tdTpositive	1.6366916061469	0	0	0.527024074149203	0	6.39700864506338	0.131	0.230929531224159	0.972219343296348	8.56072432535949
opcBulk_150dpi_Tumor_21256_tdTpositive	1.83990135157553	0.051802315424262	0	0.101823350921993	0	7.67016924396421	0.039	0.382915247678788	0.982030558196218	9.663696261886
opcBulk_150dpi_Tumor_21349_tdTpositive	0.754575229668786	0.0105831773616999	0	0.0989852709992431	0	2.61522395978155	0.13	0.234063969886132	0.981313496645503	3.47936763781128
opcBulk_150dpi_Tumor_21354_tdTpositive	1.2402444790957	0	0	0.726600612488901	0	5.90496418974954	0.097	0.268885362395252	0.960164393056697	7.87180928133414
