Mixture	Astrocyte	Endothelial	Microglia	MO	Neuron	OPC	P-value	Correlation	RMSE	Absolute score (sig.score)
opcBulk_12dpi_CKO_21724_tdTpositive	1.67237551787318	0	0	0.688214336243351	0.940209119265199	2.16104502467697	0	0.865644086004163	0.745661509207397	5.4618439980587
opcBulk_12dpi_CKO_21725_tdTpositive	1.07920169874009	0	0	0.399845837228331	0.77293155111283	1.68342770902771	0	0.730601325498791	0.832248289291314	3.93540679610896
opcBulk_12dpi_CKO_22017_tdTpositive	1.49672406646774	0	0	0.545517819311864	1.01203269758333	2.27390231056397	0	0.852073915851879	0.79334972796869	5.32817689392691
opcBulk_12dpi_CKO_22208_tdTpositive	1.19874466018951	0	0	0.465267184625148	1.13745173794797	1.86580856792032	0	0.867674488215413	0.793627224400344	4.66727215068295
opcBulk_12dpi_CKO_22210_tdTpositive	1.3276419612968	0	0	0.562763320505093	0.738884570290732	2.07641288283148	0	0.841392293541699	0.766362043308138	4.7057027349241
opcBulk_12dpi_CKO_22363_tdTpositive	1.37091682034614	0	0	0.545919424570622	0.525442895428097	2.23144237612153	0	0.8639799738074	0.762444136759063	4.6737215164664
opcBulk_12dpi_CKO_22364_tdTpositive	1.45257908800008	0	0	0.657761278655455	0.773104544933036	2.3407852898277	0	0.879286500484998	0.739757853785865	5.22423020141627
opcBulk_12dpi_WT_22056_tdTpositive	1.93231284916969	0	0	1.07607005451218	0.655256086326942	2.63936013507064	0	0.967706734122957	0.601438459474467	6.30299912507946
opcBulk_12dpi_WT_22178_tdTpositive	1.63955007596001	0	0	0.839943876862842	1.09580739535115	2.61948519078403	0	0.961483187542593	0.683039940753438	6.19478653895802
opcBulk_12dpi_WT_22180_tdTpositive	1.14243719962252	0.144820290337782	0	0.511947474249387	0.834819127641554	2.10642295246061	0	0.866745705143353	0.778027625705259	4.74044704431185
opcBulk_12dpi_WT_22280_tdTpositive	1.08581173196985	0	0	0.45536429303925	1.51165090283569	1.78108252418086	0	0.889623562502598	0.797830421798546	4.83390945202565
opcBulk_12dpi_WT_22281_tdTpositive	1.36324662678216	0	0	0.587163841500378	1.29853782319099	2.09525636177284	0	0.880606325180432	0.769981167108686	5.34420465324636
opcBulk_150dpi_Tumor_16713_tdTpositive	1.716165914288	0	0.0936464184260464	0.886694830115034	0	3.793525833763	0	0.896829176060896	0.710566230144958	6.49003299659208
opcBulk_150dpi_Tumor_16839_tdTpositive	1.26507084152231	0	0.0370974857115429	0.0480442665766511	0.18679183125233	1.96847787399695	0.005005005005005	0.476205993872041	0.978427593788746	3.50548229905978
opcBulk_150dpi_Tumor_16840_tdTpositive	1.14897319954551	0	0.282488586598638	0.20273175604382	0.441916332510941	2.05441077987573	0.00200200200200196	0.516113449365937	0.939631863452444	4.13052065457464
opcBulk_150dpi_Tumor_16844_tdTpositive	1.56840794720491	0	0.754506501464464	0.314088688545297	0.888280212409704	2.43573856051484	0	0.610449357915571	0.922416907985756	5.96102191013921
opcBulk_150dpi_Tumor_21256_tdTpositive	1.57778299010095	0	0	0.176705170752725	0.33963147652428	2.7632555506491	0.012012012012012	0.432497930720785	0.960905578381224	4.85737518802706
opcBulk_150dpi_Tumor_21349_tdTpositive	1.01285033740198	0	0.382850994086383	0.0840277169085245	0.0312989520199518	1.39016954694476	0.011011011011011	0.434623012699271	0.966333558505663	2.9011975473616
opcBulk_150dpi_Tumor_21354_tdTpositive	1.78065316685752	0.0994053165854284	0.774101398787492	0.483999956634102	0.0918718088716588	2.59842194120958	0	0.797788297485364	0.841765653283228	5.82845358894579
opcBulk_150dpi_WT_21590_tdTpositive	1.17494351162412	0	0	0.493622600859788	0.518398419249196	2.03989064152206	0	0.860960735554132	0.763585912924401	4.22685517325517
opcBulk_150dpi_WT_21591_tdTpositive	1.26962809762673	0	0	0.377605222621175	0.393140609012911	1.8128776964519	0	0.679496208884395	0.851775248743162	3.85325162571272
opcBulk_150dpi_WT_21592_tdTpositive	1.09264608075547	0	0	0.346364019469738	0.498359767050569	1.62180578939435	0	0.679778988470364	0.85261846408439	3.55917565667013
opcBulk_150dpi_WT_21593_tdTpositive	1.50755817721962	0	0	0.602828955935197	0.448065631334698	2.3287434181085	0	0.914316514537668	0.729867078418967	4.88719618259802
opcBulk_150dpi_WT_22062_tdTpositive	0.975784562830553	0	0	0.414008683890531	0.630737676531146	1.74416043830409	0	0.837194366595593	0.784452070624616	3.76469136155632
opcBulk_150dpi_WT_22064_tdTpositive	1.4291431787636	0	0	0.494501038344504	0.506522401660115	1.95204781542692	0	0.903361263654524	0.755602338794606	4.38221443419514
opcBulk_90dpi_CKO_20642_tdTpositive	1.24496430202778	0	0	0.547066914500041	1.18853152009778	2.29804809678891	0	0.860154217989618	0.788332358151299	5.27861083341451
opcBulk_90dpi_CKO_20647_tdTpositive	1.35217275481456	0	0.0462524900580496	0.537504886127674	0.519967452211732	2.19123989937528	0	0.890056381238942	0.754772301369754	4.6471374825873
