Mixture	Astrocyte	Endothelial	Microglia	MO	Pericyte	Neuron	OPC	P-value	Correlation	RMSE	Absolute score (sig.score)
opcBulk_12dpi_CKO_21724_tdTpositive	4.02607626939836	0.300646280803559	0	0.376322119416512	0.0297911243395414	0.624681543050413	3.12583035922833	0.027	0.336229537337435	0.963553483014913	8.48334769623672
opcBulk_12dpi_CKO_21725_tdTpositive	3.42883804256538	0.0702225944734929	0	0.185179263591375	0.018494958488298	1.0871323275372	2.04924394444199	0.0629999999999999	0.228841062177329	0.983044627650102	6.83911113109774
opcBulk_12dpi_CKO_22017_tdTpositive	3.37419367370528	0.231194917421445	0	0.26468377740685	0.279771708206693	1.16202491962337	3.05092331043659	0.032	0.319561976712279	0.972730397938721	8.36279230680023
opcBulk_12dpi_CKO_22208_tdTpositive	3.01615176885566	0.325542563187481	0	0.242111035129562	0.206507240068743	0.946057326345725	3.03007248411313	0.04	0.28708672693551	0.975888229235765	7.7664424177003
opcBulk_12dpi_CKO_22210_tdTpositive	3.34754134969873	0.179784537542628	0	0.292723641131634	0.163218447628513	0.748984086078432	3.00628031850271	0.04	0.289051865378895	0.972597835848072	7.73853238058265
opcBulk_12dpi_CKO_22363_tdTpositive	2.55756236558618	0.0755771754492537	0	0.25149722450189	0.172126327585975	1.52135218578324	2.73764675020407	0.032	0.318894970788038	0.971388882980909	7.3157620291106
opcBulk_12dpi_CKO_22364_tdTpositive	2.73162204227896	0.462434758673227	0	0.260643933482297	0.182430239647972	1.1992878846495	2.84638004484474	0.017	0.366275075173114	0.966469195243815	7.6827989035767
opcBulk_12dpi_WT_22056_tdTpositive	3.9390944351923	0.0294043403452073	0	0.71342255956085	0.453530343051263	0.347566772812762	3.36152631423643	0.00700000000000001	0.455909260555766	0.91979393972707	8.84454476519881
opcBulk_12dpi_WT_22178_tdTpositive	3.71463728353105	0.196115375231067	0	0.527159072233289	0.0497085961731268	0.741965067947815	3.53248833015135	0.00800000000000001	0.447162043078723	0.936228559559082	8.7620737252677
opcBulk_12dpi_WT_22180_tdTpositive	3.38917154106109	0.281302809536071	0	0.246044470089089	0.654828244588638	0.816450405854262	2.70276763044644	0.039	0.292088397614849	0.976058702968129	8.09056510157559
opcBulk_12dpi_WT_22280_tdTpositive	2.93646806455073	0.0584252878900364	0	0.274643889318692	0.378415257854232	1.00901785891019	3.31438274359654	0.038	0.297886939102359	0.973309943704392	7.97135310212042
opcBulk_12dpi_WT_22281_tdTpositive	3.4524774026319	0.130173280246493	0	0.317157434224786	0.377504529511792	1.32861674234843	2.97485359851951	0.034	0.312975833461394	0.970668512213457	8.58078298748291
opcBulk_150dpi_Tumor_16713_tdTpositive	0.484047888703407	0	0	0.360148346944518	1.04942209265267	0	9.13240658954945	0.0659999999999999	0.221646915720702	0.980213917079644	11.02602491785
opcBulk_150dpi_Tumor_16839_tdTpositive	2.44634343356114	0	0	0	0.603518153082585	0.020279529841739	5.33227274096734	0.027	0.335857037342432	0.983780568184028	8.4024138574528
opcBulk_150dpi_Tumor_16840_tdTpositive	1.30572755533877	0	0	0.0365529131858144	0.991253200196167	0	5.24020885870756	0.002	0.602444160686289	0.968188128190663	7.57374252742831
opcBulk_150dpi_Tumor_16844_tdTpositive	2.97122606382831	0.0469053863358431	0	0.0581830412430885	0.0748956806763967	0.0240384998672067	7.28478905363167	0.01	0.434093513600865	0.976083923121561	10.4600377255825
opcBulk_150dpi_Tumor_21256_tdTpositive	4.1535150745107	0.0290464984203199	0	0.056822012638006	0.252119668152187	0.609620452470307	6.1095453806468	0.048	0.264791730791905	0.987165281374381	11.2106690868383
opcBulk_150dpi_Tumor_21349_tdTpositive	1.31296971070106	0	0	0.0103401911141834	1.63005770895132	0.0193328613737425	3.35678187709729	0.016	0.375861764229675	0.983740320349338	6.3294823492376
opcBulk_150dpi_Tumor_21354_tdTpositive	3.17060738807154	0	0	0.0977407210764854	0.949017597464546	0	4.99992047525499	0.011	0.426526186175604	0.97683087575732	9.21728618186756
opcBulk_150dpi_WT_21590_tdTpositive	2.93807469128607	0.0430584455626435	0	0.2010362676406	0.502654912200528	0.776895947846069	3.14687373917835	0.05	0.260903961262576	0.980458200981154	7.60859400371427
opcBulk_150dpi_WT_21591_tdTpositive	3.05329718317618	0	0	0.176310855605136	0.164580240361413	0.428053247222918	4.01523233442054	0.131	0.146942828165844	0.990301297956982	7.83747386078618
opcBulk_150dpi_WT_21592_tdTpositive	3.70214809478734	0.0153090382084305	0	0.159676326159436	0.126624131903683	0.220201136528187	3.22137175070002	0.116	0.161531441300621	0.989453153806211	7.4453304782871
opcBulk_150dpi_WT_21593_tdTpositive	3.35674241454771	0.219225393749293	0	0.292375246282234	0.302979587155454	0.191336043080284	3.36009249508454	0.024	0.348663428562914	0.965527286661124	7.72275117989952
opcBulk_150dpi_WT_22062_tdTpositive	2.69402002532826	0.245307673335328	0	0.161187641816224	0.838441277248799	0.777733529198611	2.4040558883968	0.071	0.21499973398273	0.985697086538121	7.12074603532403
opcBulk_150dpi_WT_22064_tdTpositive	3.27970630631021	0.0382241197609014	0	0.239772735039813	0.791351143094504	0.312330898070728	2.80025917423501	0.035	0.302035251567269	0.974116483342291	7.46164437651117
opcBulk_90dpi_CKO_20642_tdTpositive	2.87691655263358	0	0	0.330722344507237	0.189946752181709	0.558955737956343	4.27282360491616	0.033	0.317044292154388	0.967747760765135	8.22936499219502
opcBulk_90dpi_CKO_20647_tdTpositive	3.55340652514525	0.029309288797217	0	0.327971553578629	0.39145631261828	0.15116552934439	3.25571055928856	0.038	0.298100784424791	0.969217411861926	7.70901976877233
opcBulk_90dpi_CKO_22146_tdTpositive	2.91743795198558	0.0931509924743285	0	0.214103905074231	0.155549447355279	1.03343306736547	3.22589289781786	0.0629999999999999	0.226749111155338	0.982686027049223	7.63956826207275
opcBulk_90dpi_CKO_22149_tdTpositive	3.32295595649882	0.10939122923125	0	0.289874023540566	0.114291255551004	0.280408394405023	4.21577129981841	0.045	0.270384224679307	0.975482208264731	8.33269215904507
opcBulk_90dpi_CKO_22152_tdTpositive	2.5786067906282	0.129902330890079	0	0.132968871625003	0.0070922624094701	1.12160608503451	2.88702772518662	0.045	0.272149162630418	0.982573781204701	6.85720406577388
opcBulk_90dpi_CKO_22154_tdTpositive	3.29901574172645	0.0324720790035816	0	0.206337846972745	0.00615138017246351	0.453051019472452	3.76546838753262	0.046	0.267783570511904	0.979252124009614	7.76249645488032
opcBulk_90dpi_CKO_22212_tdTpositive	2.65344362422071	0.361360225462499	0	0.133726460773249	0.11440891616787	0.939540170413796	3.38006393086066	0.053	0.259164147431284	0.983865284423458	7.58254332789878
opcBulk_90dpi_WT_22184_tdTpositive	3.09141396621773	0.0711820927566734	0	0.222330349633406	0.705379119140804	0.553017779497461	2.62980427960746	0.04	0.288915684545236	0.976256014002176	7.27312758685354
opcBulk_90dpi_WT_22185_tdTpositive	3.02333015789042	0.16436451519663	0	0.247027744871601	0.619402173280632	0.403921370502164	2.95676319207112	0.039	0.293920980506729	0.974220113579045	7.41480915381257
opcBulk_90dpi_WT_22254_tdTpositive	3.07994462819013	0.0551649915646806	0	0.182634715515605	0.17600832817727	0.812878396736067	2.68118976037803	0.043	0.277934162597821	0.979156284454173	6.98782082056178
opcBulk_90dpi_WT_22255_tdTpositive	3.21106415461717	0.0476161602185027	0	0.232324870989833	0.416804813380932	0.286875354291537	3.16720802470352	0.053	0.256915801758899	0.978482714847589	7.3618933782015
