Mixture	Astrocyte	Microglia	MO	Pericyte	Neuron	OPC	P-value	Correlation	RMSE	Absolute score (sig.score)
opcBulk_12dpi_CKO_21724_tdTpositive	2.33943888997757	0	0.930152054144019	0	0.360032473532384	5.23741380079611	0.0230692076228686	0.295106557767961	0.954070882728515	8.86703721845008
opcBulk_12dpi_CKO_21725_tdTpositive	2.76916290843179	0	0.561959963103255	0	0.221868757139406	3.77811075621846	0.115346038114343	0.166177875269381	0.984570024529942	7.3311023848929
opcBulk_12dpi_CKO_22017_tdTpositive	2.36361759706878	0	0.542377359186099	0	2.28105565150981	3.66882162779178	0.0320962888665998	0.271155473746853	0.967738064871452	8.85587223555648
opcBulk_12dpi_CKO_22208_tdTpositive	1.49225775153047	0	0.528365708485953	0	1.76822515781238	4.2464376800754	0.0561685055165496	0.231263956633807	0.973165564447006	8.03528629790421
opcBulk_12dpi_CKO_22210_tdTpositive	1.94894142948714	0	0.739683688819406	0	1.26096254216967	4.12547923608634	0.0441323971915747	0.243162998839255	0.968155221362611	8.07506689656256
opcBulk_12dpi_CKO_22363_tdTpositive	1.52074619294588	0	0.671584916757795	0	2.16130863324743	3.40850042272531	0.0341023069207623	0.264732106017814	0.963646778476076	7.76214016567642
opcBulk_12dpi_CKO_22364_tdTpositive	1.63509489651326	0	0.665465358253571	0	1.68041183663164	4.02003793592459	0.0210631895687061	0.300428120331605	0.956327924309796	8.00101002732306
opcBulk_12dpi_WT_22056_tdTpositive	2.83564837132005	0	1.70244765831942	0	0.642069217454605	4.15779229898234	0.00501504513540618	0.443162983394439	0.894526742231997	9.33795754607641
opcBulk_12dpi_WT_22178_tdTpositive	0.417998569061548	0	1.35191837679032	0	1.86441055985937	5.44360251631698	0.00601805416248746	0.421007597621085	0.90657022045554	9.07793002202822
opcBulk_12dpi_WT_22180_tdTpositive	4.24345280252746	0	0.614524980356866	0	0.899559229623155	2.6069733018191	0.0441323971915747	0.243064280337059	0.969983175276369	8.36451031432659
opcBulk_12dpi_WT_22280_tdTpositive	2.74147348820913	0	0.493724391619612	0	1.76218557168853	3.3370905363246	0.0341023069207623	0.262250489356357	0.969728389556289	8.33447398784188
opcBulk_12dpi_WT_22281_tdTpositive	3.75076891957688	0	0.735823672136862	0	1.90437351895023	2.60331017732012	0.0310932798395186	0.275979316496174	0.962047258701249	8.99427628798408
