Mixture	Astrocyte	Endothelial	Microglia	MO	Neuron	OPC	P-value	Correlation	RMSE	Absolute score (sig.score)
opcBulk_12dpi_CKO_21724_tdTpositive	19.4813599779646	0	0	4.13692325771716	3.29088526443554	40.7260484584198	0.016	0.354802952212842	0.954198571262597	67.6352169585371
opcBulk_12dpi_CKO_21725_tdTpositive	15.5289705390521	0	0	1.86569740684752	10.7647787304664	26.0047209748184	0.038	0.259473334275105	0.978886965884284	54.1641676511844
opcBulk_12dpi_CKO_22017_tdTpositive	17.2197324559077	0	0	3.15063722341954	13.2294271475751	32.6807802615939	0.016	0.354212121676428	0.96201699427359	66.2805770884963
opcBulk_12dpi_CKO_22208_tdTpositive	16.6469986289871	0	0	2.40982091278209	12.737975099084	29.2996247458298	0.021	0.314037812994631	0.97116755837446	61.0944193866829
opcBulk_12dpi_CKO_22210_tdTpositive	14.0826150560848	0	0	3.23547138667311	7.90363391380105	35.4805683737847	0.02	0.315990200180975	0.963903785470269	60.7022887303437
opcBulk_12dpi_CKO_22363_tdTpositive	15.1322654764047	0	0	3.25892180981191	3.75000152709127	37.4582813037166	0.018	0.341258914270136	0.95948849210756	59.5994701170245
opcBulk_12dpi_CKO_22364_tdTpositive	16.825425894047	0	0	3.3462649372667	8.45988990426923	34.8912134144099	0.012	0.377889978610417	0.955616645830418	63.5227941499929
opcBulk_12dpi_WT_22056_tdTpositive	18.1863561340137	0	0	7.55459407611187	5.5659034936162	36.8000209549005	0.00600000000000001	0.54700521433247	0.878269971699838	68.1068746586423
opcBulk_12dpi_WT_22178_tdTpositive	18.8571486610909	0	0	6.01266549811309	8.19091668401987	37.7967698514432	0.00900000000000001	0.475376355584119	0.916568384101499	70.8575006946671
opcBulk_12dpi_WT_22180_tdTpositive	15.7980537319242	1.84753704934948	0	3.23581404597524	10.2596902642992	29.0516350902611	0.019	0.326915891274458	0.962417791301053	60.1927301818092
opcBulk_12dpi_WT_22280_tdTpositive	11.7091064339016	0	0	2.99237758172017	14.819016258215	30.4466466717995	0.017	0.352473374449498	0.960799744407959	59.9671469456362
opcBulk_12dpi_WT_22281_tdTpositive	17.9744142215812	0.209486417855715	0	4.13615009529339	10.6552164541366	33.4390669048657	0.017	0.349433657042364	0.954790368947898	66.4143340937326
opcBulk_150dpi_Tumor_16713_tdTpositive	3.48637660016282	0	0	3.41377039009206	0	99.4139566894536	0.043	0.237224551235707	0.980439519279107	106.314103679709
opcBulk_150dpi_Tumor_16839_tdTpositive	15.9538737685816	0	0	0	0.212799760274008	54.1900623367888	0.00900000000000001	0.440194148783283	0.985312088938027	70.3567358656444
opcBulk_150dpi_Tumor_16840_tdTpositive	11.1875010034437	0	0	0.588627484480704	0	47.8996404412481	0.00600000000000001	0.546135348967173	0.975223013629566	59.6757689291725
opcBulk_150dpi_Tumor_16844_tdTpositive	22.7151097030461	0	0	0.945189918126165	0	67.7090181166801	0.01	0.42414121353228	0.98108612017348	91.3693177378523
opcBulk_150dpi_Tumor_21256_tdTpositive	23.3763433977022	0.423176423322083	0	0.333086589081297	3.97594568622178	76.7598488553964	0.00900000000000001	0.443427296417008	0.984806839921554	104.868400951724
opcBulk_150dpi_Tumor_21349_tdTpositive	8.92055597861386	0.24788991670806	0	0.137177729569622	0.0906474393841787	33.6441882209238	0.00800000000000001	0.507838980309407	0.981812780081772	43.0404592851995
opcBulk_150dpi_Tumor_21354_tdTpositive	26.1733311532316	1.91058112603262	0.299979157430323	2.04333984736405	0	47.7425594343759	0.027	0.29228389556032	0.979602970591043	78.1697907184345
opcBulk_150dpi_WT_21590_tdTpositive	12.8997854228458	0.594789762605237	0	2.57604156475846	6.280249385616	34.3059533879461	0.021	0.310027947428173	0.968264732181645	56.6568195237716
opcBulk_150dpi_WT_21591_tdTpositive	16.4001432824022	0.115764064810618	0	1.84772507995176	2.12448542503359	37.2162273815775	0.043	0.239910307992803	0.98117591319479	57.7043452337757
opcBulk_150dpi_WT_21592_tdTpositive	13.9248921545348	0	0	1.57826431631703	3.27796339771609	37.4967543876411	0.044	0.235611698119758	0.982945552799678	56.2778742562091
opcBulk_150dpi_WT_21593_tdTpositive	16.2144586854027	0	0	3.8465383471162	0	42.6700033437315	0.017	0.351874972961029	0.954359489419409	62.7310003762504
opcBulk_150dpi_WT_22062_tdTpositive	13.4076321213469	0.764053911779949	0	2.23901078451378	2.65432978569204	33.0940831149775	0.039	0.254019057160447	0.975867002034885	52.1591097183102
opcBulk_150dpi_WT_22064_tdTpositive	15.7594317702586	0	0	3.55611188724736	3.26878745952601	34.8888841670631	0.019	0.319593994864046	0.959612502258973	57.4732152840951
opcBulk_90dpi_CKO_20642_tdTpositive	13.3161373238319	0	0	3.67075904788226	4.57483276491193	46.7947550951359	0.018	0.330624550147741	0.961338952496141	68.356484231762
opcBulk_90dpi_CKO_20647_tdTpositive	17.163921368078	0	0	3.79356815469261	2.43060314851698	34.9848225157316	0.016	0.354586058995806	0.9523528758175	58.3729151870192
opcBulk_90dpi_CKO_22146_tdTpositive	10.5396164201648	0	0	2.1752976800393	10.163442785047	33.8963238643905	0.027	0.291909204141563	0.973676501950308	56.7746807496416
opcBulk_90dpi_CKO_22149_tdTpositive	14.9376146448485	0	0	3.02906082466221	4.71360677995944	44.3944084166895	0.024	0.30524035383563	0.968812775684624	67.0746906661596
opcBulk_90dpi_CKO_22152_tdTpositive	11.6474207609096	0	0	1.57680962406767	11.0068149281271	32.1490260319603	0.028	0.285082121833641	0.979371768555461	56.3800713450647
opcBulk_90dpi_CKO_22154_tdTpositive	14.6450922221789	0	0	2.13800662310404	8.47286669037716	36.4423574508083	0.027	0.292659198109007	0.975390945405337	61.6983229864684
opcBulk_90dpi_CKO_22212_tdTpositive	13.7843009195558	0	0	1.70981729031651	7.8482562770254	37.9193770289559	0.028	0.28857208545341	0.978976640209885	61.2617515158537
