Mixture	Astrocyte	Endothelial	Microglia	MO	Pericyte	Neuron	OPC	P-value	Correlation	RMSE	Absolute score (sig.score)
opcBulk_12dpi_CKO_21724_tdTpositive	37.5263828870426	2.80227365108632	0	3.50763547363119	0.277678082528882	5.82255208257178	29.1353414717773	0.016	0.336229537337437	0.963553483014914	79.0718636486381
opcBulk_12dpi_CKO_21725_tdTpositive	32.0080884736148	0.6555255713016	0	1.72864223358784	0.172649819055329	10.1483439259486	19.1296236985989	0.05	0.228841062177329	0.983044627650102	63.8428737221071
opcBulk_12dpi_CKO_22017_tdTpositive	31.5390480961624	2.16101039989686	0	2.47403533797207	2.61506428330975	10.8616052820393	28.5173959560826	0.017	0.319561976712278	0.972730397938721	78.1681593554629
opcBulk_12dpi_CKO_22208_tdTpositive	27.9900420222077	3.02105156568174	0	2.24680273628527	1.91639770488353	8.77946016949965	28.1192269687537	0.028	0.28708672693551	0.975888229235765	72.0729811673117
opcBulk_12dpi_CKO_22210_tdTpositive	31.2242256187807	1.67694208273321	0	2.73038270773494	1.52242171238819	6.98615659839254	28.041109916888	0.027	0.289051865378895	0.972597835848072	72.1812386369176
opcBulk_12dpi_CKO_22363_tdTpositive	23.9221256612553	0.706910108057216	0	2.35237595334732	1.60998132187416	14.2299474894685	25.6065425640165	0.017	0.31889497078804	0.97138888298091	68.427883098019
opcBulk_12dpi_CKO_22364_tdTpositive	25.4916600964898	4.31546879562646	0	2.43234475915988	1.70244989550149	11.1918261897673	26.5625886325323	0.013	0.366275075173114	0.966469195243815	71.6963383690772
opcBulk_12dpi_WT_22056_tdTpositive	36.7455193551407	0.274295977173501	0	6.65510383212156	4.23072060670724	3.24224813284366	31.3577225107983	0.00700000000000001	0.455909260555768	0.91979393972707	82.5056104147849
opcBulk_12dpi_WT_22178_tdTpositive	34.4140871982664	1.81690192311515	0	4.88384111138532	0.460523015474516	6.87390143302279	32.726576551541	0.00800000000000001	0.447162043078724	0.936228559559082	81.1758312328052
opcBulk_12dpi_WT_22180_tdTpositive	31.7038813477347	2.63143685359867	0	2.30161400550665	6.12556688797276	7.63745549020189	25.2829410456293	0.026	0.292088397614849	0.976058702968129	75.6828956306439
