Mixture	Astrocyte	Endothelial	Microglia	MO	Neuron	OPC	P-value	Correlation	RMSE	Absolute score (sig.score)
opcBulk_12dpi_CKO_21724_tdTpositive	2.27086784631524	0	0	0	0.682021255626354	5.66969081489424	0.014	0.338035523638317	0.940081853326272	8.62257991683583
opcBulk_12dpi_CKO_21725_tdTpositive	2.19142898578292	0	0	0	1.30589190936448	3.84338513873895	0.055	0.194561361563421	0.98013169795256	7.34070603388636
opcBulk_12dpi_CKO_22017_tdTpositive	1.8218739906481	0	0	0	1.50729585396236	5.32285179007422	0.016	0.318911323939308	0.94674832202175	8.65202163468468
opcBulk_12dpi_CKO_22208_tdTpositive	2.02164297453186	0	0	0	1.52090604259026	4.64561859719578	0.035	0.246373029878958	0.967468874694869	8.18816761431789
opcBulk_12dpi_CKO_22210_tdTpositive	1.7984076772004	0	0	0	1.45620194617924	4.68364329065337	0.026	0.280840226228718	0.958028118183603	7.93825291403301
opcBulk_12dpi_CKO_22363_tdTpositive	1.99460601082478	0	0	0	1.04822754366555	4.75216789829193	0.022	0.292689853721361	0.954514136426713	7.79500145278226
opcBulk_12dpi_CKO_22364_tdTpositive	2.02258669179691	0	0	0	1.02676519538647	5.14837357867723	0.016	0.322405480473376	0.945471949414612	8.19772546586061
opcBulk_12dpi_WT_22056_tdTpositive	1.93692682435571	0	0	0	1.17824926731856	5.55921915597591	0	0.54593542459501	0.873567149112703	8.67439524765017
opcBulk_12dpi_WT_22178_tdTpositive	2.39335250417007	0	0	0	1.09517065464974	5.7835750573153	0.003	0.456707290435548	0.904331154877116	9.27209821613511
opcBulk_12dpi_WT_22180_tdTpositive	1.73263848525176	0.0999060869213552	0	0	1.11637925843422	4.90147134915718	0.021	0.30395603645099	0.951063717571344	7.85039517976452
opcBulk_12dpi_WT_22280_tdTpositive	1.32644730856178	0	0	0	1.70601213268241	4.94636736912124	0.02	0.304565419932319	0.950923938646382	7.97882681036544
opcBulk_12dpi_WT_22281_tdTpositive	1.90358180693825	0	0	0	1.12836350382197	5.58933166357273	0.015	0.33088871876301	0.94250257049209	8.62127697433295
opcBulk_150dpi_Tumor_16713_tdTpositive	1.87231488229254	0	0	0	0	11.5485396456533	0.092	0.135286514319866	1.02177205979882	13.4208545279458
opcBulk_150dpi_Tumor_16839_tdTpositive	2.59979098874001	0	0	0	0.373203663782329	5.71939154564528	0.369	0.0318599361145005	1.03301493081547	8.69238619816761
opcBulk_150dpi_Tumor_16840_tdTpositive	2.09004262936577	0.00530715134970469	0.0850455212128157	0	0.641417561007288	4.52288652034596	0.144	0.0989805927566734	1.00974806431777	7.34469938328154
opcBulk_150dpi_Tumor_16844_tdTpositive	2.91707944526672	0.0252255123585144	0.199849133911177	0	1.66605410182221	6.84289194894982	0.139	0.103581326005443	1.00628423485483	11.6511001423084
opcBulk_150dpi_Tumor_21256_tdTpositive	3.90809497221576	0.0326351505615503	0	0	1.26902863918505	7.85635545819563	0.277	0.0509181541269886	1.02154590744322	13.066114220158
opcBulk_150dpi_Tumor_21349_tdTpositive	2.25948255591119	0.0676948317377978	0.136444833516411	0	0.0927195304383229	2.846509105912	0.286	0.0478193371081543	1.01547308776185	5.40285085751573
opcBulk_150dpi_Tumor_21354_tdTpositive	3.61649819850834	0.0188697593609639	0.340003321342253	0	0.142441567971827	5.33339801834143	0.0629999999999999	0.184343987038948	0.98378461392056	9.45121086552482
opcBulk_150dpi_WT_21590_tdTpositive	1.79726393057103	0	0	0	1.27766494642569	4.62894603248013	0.037	0.239770752937534	0.969628905087797	7.70387490947685
