symbol	Astrocyte	Endothelial	Microglia	MO	Neuron	OPC
Hgf	139.792198066164	1	1	1	3.76873534168206	3.03709408386087
Aqp4	1568.14548006963	4.37069227074305	2.36222039857118	4.77974679977381	60.5022378501986	51.6127065980936
Ppp1r3c	514.303821311756	1.98349211709953	2.62631434497328	5.93704454837254	14.3382157647728	16.1095883933121
Plcd4	166.465935143047	1	1	1.50900697439993	3.62594912040713	6.7756767117519
Pla2g3	232.541446367734	1	1	2.9230257673563	12.5653082683709	2.24864259927328
Bmpr1b	147.153095999548	1	1	1	4.57874824113294	5.76360492951494
Itih3	336.60377685686	1	1.75732263627546	5.49355907450366	10.579144117237	12.6507485333923
Slc14a1	260.690810990296	1	2.30183456072928	1	9.37360598287611	12.1040458769287
Grhl1	112.125424685375	1	1.52373398052165	1.22068258976655	4.38883094984325	2.98764223539379
Atp13a4	373.865442169382	1	1	1.17081106327282	7.55798033211086	27.1575707094323
Tnc	577.997155524882	2.36018404968664	1	1	53.6826922574388	1.57816615382829
Slc30a10	317.322541133776	4.61030067798537	1	1	20.1575124704957	6.4797688416256
Grm3	776.529475972489	6.24762449202878	2.13910628341217	9.62956786763123	29.9808092079984	35.1688548310847
Fgfr3	1439.38457338161	2.83475135352653	9.59358692735042	14.3426002396241	48.6968891718372	85.512161541429
Phkg1	136.640105636933	1	1.96886856194121	2.08516328083093	3.95529861146617	6.43386169067243
Itga7	210.895672007628	6.80798750281868	1.52941511086817	1.48681589310117	8.42353634172036	5.87830301136903
Nwd1	261.377236297547	1	1	1.94266336067999	7.70005205685051	18.8544291467044
Cbs	445.050797140927	1	5.78654641247573	6.10017916556996	19.0614747853647	21.23341775656
Paqr6	108.156527154842	1	1	2.24570280376756	5.8624594928223	2.88800396912331
Aldh1l1	708.182757691161	1.75956697149401	8.1601123748102	8.18926197996059	40.9373565634897	28.9992596080049
Slc4a4	1308.39496248534	2.38769863919022	2.30017321621942	6.02969479191664	64.54960370946	88.020178056142
Fmo1	320.826830248523	10.0015306261187	1.28370865835026	1	10.9030474998131	17.040237398117
Ptx3	103.983446186649	1	1	1	9.06071818357432	1
Gdpd2	347.786343930152	1	1	1	24.3977127202107	16.4741087008558
Egfr	189.308043512423	1	1.37157903396701	1	14.2336602483986	6.70744414508171
Slc6a11	2742.65944961023	3.90185664435295	12.5296794099252	26.6405788232001	180.491069576342	133.420286231878
Ccdc80	241.899436894919	3.07975246804688	6.73106807429625	1	9.12524133292106	12.8041133382241
Cth	121.272756087663	1.8161623014552	1.15915791090033	1.42146960439296	5.97154101063047	6.23668131237468
St6galnac5	299.874156172669	1	1	1	35.3558792584977	5.1328730330832
Daam2	914.308030552745	6.95859176886491	2.58480856044314	90.9885865367058	18.2285902863904	14.2126694918357
Chrdl1	238.639772278273	1	1	1.64537548013157	10.457849334912	21.1198592869473
AI464131	468.037144554428	1.32114621415198	2.62162111630348	17.2439778113334	16.8649068253773	32.9068023367621
Cyp4f15	199.640962038783	1	2.51085090153832	3.1199251828731	4.04509643321585	20.067631047658
Entpd2	390.775747220705	2.35375630514618	3.87917542561542	4.35686072698026	25.981160408716	24.6694585065179
Sorcs2	258.942318848462	1	1.28304078116037	2.02581058417841	24.0245913209053	13.3211334437175
Dio2	548.207264606701	1	1.87921439766313	5.68040249975988	14.7673943005212	66.2954958884198
Slc15a2	789.988721959719	10.4014066683145	6.40175452889041	4.01942956189503	28.0384323858994	85.2789346329575
Sox9	455.747618781323	10.8422908505947	1	1.11169367309473	42.5090973033683	24.7533962113662
