Mixture	Astrocyte	Endothelial	Microglia	MO	Neuron	OPC	P-value	Correlation	RMSE	Absolute score (sig.score)
opc12.01	9.89512079212315	26.0480526723419	0	0	17.018318887575	16.03238751042	0.022	0.300017766235934	0.970610902795928	68.99387986246
opc12.02	0.970850288618208	5.6221863371946	0	1.9742884018518	30.9877165833099	15.2821811760669	0.026	0.25952903928007	0.965034786599289	54.8372227870414
opc12.04	2.29313665235242	27.3623661095879	0.513653742810601	0.260659281240104	22.8677679591728	9.93854192904191	0.035	0.213925254306024	0.982697259236093	63.2361256742057
opc12.05	3.59857408916468	11.6897310437712	0	0	4.50600123138626	40.6359150720446	0.035	0.215362038641896	0.978947095728476	60.4302214363668
opc12.07	3.7216898758877	8.46355301381506	0.169770215065162	4.89275419691059	35.2329046834979	2.30132146518906	0.023	0.291606385416491	0.956456088277623	54.7819934503654
opc12.08	5.92602813774437	20.4900897620059	0	0	27.0773940033642	5.87574777263071	0.042	0.196930098605672	0.988405863149345	59.3692596757452
opc12.09	1.85141578068141	43.0887332344372	0.534282378368384	9.41786337091561	12.8309911957188	4.48765459536786	0.029	0.245266413201553	0.972654389915019	72.2109405554893
opc12.11	1.66994487773715	42.8225602657689	0.347595942953935	0	6.99304278168835	1.34855881897555	0.08	0.133857306438957	0.99079342681892	53.1817026871239
opc12.12	2.10428206226054	32.0853379685948	0.0112634955044673	4.7687916663812	15.1724545564946	8.15492989021737	0.045	0.184856742747897	0.982927534346244	62.297059639453
opc12.14	3.45682660772578	31.1353316949858	0.0334856810089401	0.388330170966205	17.9375186488557	0.551980471216263	0.025	0.270695344446235	0.982892425453051	53.5034732747586
opc12.15	0	0.169730152667375	0	0	0.395015942942226	37.8076861140986	0.315	0.0206692900091489	1.08600214620725	38.3724322097082
opc12.16	2.35619396008058	0	0	0	17.998149268392	35.2470010211507	0.023	0.293131539531174	0.954248525406597	55.6013442496233
opc12.17	12.0463772505543	37.5361700083121	0.517488355086432	0	6.7359688193001	3.56004597465368	0.043	0.193668884920321	0.987491150446361	60.3960504079066
opc12.18	0.31722530878418	30.0076753727647	0	0	11.9236338437935	32.741535170685	0.42	0.00385191551299988	1.01774653083996	74.9900696960275
opc12.20	9.30274706188716	18.9491585517749	1.39082681424088	34.7896223703595	3.84899570355268	30.6049707206989	0.00700000000000001	0.548566008208659	0.941703578089718	98.8863212225139
opc12.23	0	0.406023958301246	0	0	0.2800725889546	69.8172909111071	0.37	0.0114613379037164	1.09071592939283	70.503387458363
opc12.25	2.56018536869631	28.9877642547317	0	0.513950238787089	1.87256815201902	7.46643940719613	0.098	0.116313329705239	0.991657721349143	41.4009074214302
opc12.28	0.691874599039784	19.6002027570201	0	47.5776876049322	8.91177069430917	0	0.15	0.0754877836737949	1.72532183468902	76.7815356553013
opc12.31	14.3448758220293	47.482923816648	0.237998235026805	4.05651176233979	10.4076595740073	1.37335586722128	0.118	0.100191329395459	0.99433213279072	77.9033250772725
opc12.32	35.867260313593	32.2305362924392	0.315338978162895	11.2181189169384	0.787068983532396	0.000921406048435258	0.12	0.0981172618520892	1.02125381279215	80.4192448907143
opc12.33	9.24113137347168	11.3479996519186	0.628793776985898	0.0795140914426749	43.3412684034844	4.27861547557231	0.027	0.255926795041987	0.987696800279036	68.9173227728755
opc12.34	3.67019003086578	0	0	0	13.0488122117314	38.5075569820632	0.394	0.00738542857270587	1.04527188152513	55.2265592246604
opc12.37	5.71879357495464	32.3160898083699	0.948855163213713	0.598527137794513	24.3434601058348	2.28768740659636	0.134	0.0873000722526888	0.994996161535928	66.2134131967639
opc12.39	15.5160854252542	12.4106235408293	0.0571108033480671	0	0.00970466218594619	1.37859609273215	0.141	0.082782853627449	0.995773428026796	29.3721205243496
opc12.40	10.3157902425337	8.32235987194044	0.802330781379928	1.77755239416372	46.3579678574434	0.775583548570342	0.072	0.141720439169627	0.990656557150841	68.3515846960315
opc12.46	3.63560379507385	28.8252149801839	0	0	0	0	0.777	-0.0226305573779853	1.00486695909445	32.4608187752577
opc12.47	0.0100191256251249	50.1298666699466	0	0	0.0146477915422386	0.11249574550348	0.022	0.318426501735895	0.970540917700401	50.2670293326174
opc12.48	5.63680693690729	20.3681555726772	1.69039024420147	27.1234927231028	2.51143721817003	0	0.005	0.678329315658218	0.864525384184435	57.3302826950588
opc12.49	5.65424271470644	2.86008750894148	0	0	12.5998523262666	30.1328911879185	0.03	0.242716259928856	0.968617119732185	51.247073737833
opc12.50	6.57544294231531	0	0	0	6.2612020813804	43.0949117242165	0.0620000000000001	0.152927549812944	1.00610128938321	55.9315567479123
opc12.51	16.7421337815542	4.53985458560862	0	7.19541284688066	5.97100699851009	23.2824000289767	0.011	0.431331179562883	0.901766278506774	57.7308082415303
opc12.52	10.9642506882442	30.1833738419479	0.548542885389459	0.604175807492223	16.4332031929701	2.44851522463457	0.024	0.274174141105183	0.982453217767268	61.1820616406784
opc12.53	5.95312073460882	31.8451627704511	0.417585873203017	0.63585165392634	23.4728190768316	3.18467026945289	0.043	0.192075445211861	0.98762494819163	65.5092103784738
opc12.54	5.24557125648576	30.9420120714977	0.434769207542913	4.1662688984538	10.5128753231877	1.17696126629143	0.011	0.426883565929148	0.928575030417892	52.4784580234593
opc12.55	6.02288852529392	8.45196290251682	0.216130636685708	0	31.4399458765665	11.9078183094335	0.0580000000000001	0.15852791090784	0.987703989382501	58.0387462504965
opc12.56	10.0756027238714	0	0.0751965047602218	10.1414473078541	1.85366791622437	23.9392619176529	0.021	0.334823817167109	1.03357799844198	46.085176370363
opc12.57	0	0.133881808379471	0	0.687188747095209	39.9714962726147	10.7240763384057	0.05	0.173985122301695	0.984062636726871	51.516643166495
opc12.58	6.54609167937157	26.2772866050916	0	1.68810552533848	23.6361888922422	5.06956078566575	0.083	0.129038515417872	0.990248168952469	63.2172334877095
opc12.60	0.523991750972423	0	0	10.1539031300363	8.28249175245211	34.8423870961238	0.118	0.100043568180087	1.18493860912337	53.8027737295847
opc12.62	5.41522467389153	0	0	33.9599611989395	6.6921866171736	14.2513094285791	0.035	0.213352071752504	1.58042331481265	60.3186819185837
opc12.63	0	16.3861013871562	0	0	5.43335215501089	39.3924828826877	0.355	0.0134630059664945	1.03670876701321	61.2119364248548
opc12.64	0.332628993510629	62.7514569451361	0.210389838674338	7.24527061150622	7.32727049560987	3.69840132830202	0.158	0.0714850403308207	1.01057519646207	81.5654182127392
opc12.68	0.295313297073141	55.1083226028993	0	7.72328505043907	0.170790255082411	0.139723148717754	0.016	0.382917910012917	0.925199346151338	63.4374343542117
opc12.69	9.3671948583497	33.6482637281575	25.4972455038507	2.85741136199523	4.21171769870038	3.09944873723983	0.182	0.0621470705069634	0.998001779307416	78.6812818882933
opc12.77	5.63691742990302	3.67446877107279	1.02103080734039	99.7072516276385	2.30109642207672	8.39173844664864	0.00800000000000001	0.503002716484868	1.73939738891079	120.73250350468
opc12.79	16.157899750386	49.7535043767098	0.514470481408617	0	15.5146731928295	6.52321770116662	0.119	0.0990982632115693	0.994154133284546	88.4637655025005
